COUNT_DATE,VolumeLeg,LegDir,Street2,Location,TOTAL (Cars/Day),Lat,Lng
2011-07-01,San Carlos St,E of,Bird Av,San Carlos St - E of  Bird Av,14100,37.324729,-121.90027
2011-07-01,The Alameda,W of,Autumn St,The Alameda - W of  Autumn St,14600,37.332001,-121.900591
2011-07-01,The Alameda,W of,Cahill St,The Alameda - W of  Cahill St,14600,37.331927,-121.902366
2011-07-01,The Alameda,W of,Stockton Av,The Alameda - W of  Stockton Av,15900,37.331847,-121.904078
2011-07-01,The Alameda,W of,Int-880,The Alameda - W of  Int-880,29000,37.342582,-121.925815
2011-07-01,Alum Rock Av,E of,Hwy-101,Alum Rock Av - E of  Hwy-101,28500,37.350452,-121.860486
2011-07-01,Alum Rock Av,E of,King Rd,Alum Rock Av - E of  King Rd,28500,37.353008,-121.855122
2011-07-01,Alum Rock Av,W of,Capitol Av,Alum Rock Av - W of  Capitol Av,32500,37.362207,-121.835692
2011-07-01,Alum Rock Av,W of,White Rd,Alum Rock Av - W of  White Rd,25500,37.365652,-121.828403
2006-10-18,Aborn Rd,W of,White Rd,Aborn Rd - W of  White Rd,40744,37.313703,-121.793324
2006-10-18,San Felipe Rd,S of,White Rd,San Felipe Rd - S of  White Rd,31665,37.313595,-121.791198
2005-09-26,Pearl Av,N of,Adamo Dr,Pearl Av - N of  Adamo Dr,16244,37.263439,-121.864991
2005-10-12,Ocala Av,W of,Adrian Wy,Ocala Av - W of  Adrian Wy,15957,37.336977,-121.825934
2005-10-12,Ocala Av,E of,Adrian Wy,Ocala Av - E of  Adrian Wy,14833,37.337468,-121.825228
2006-07-10,Lewis Rd,W of,Aiello Dr,Lewis Rd - W of  Aiello Dr,6240,37.292127,-121.845695
2005-05-23,Saratoga Av,S of,Atherton Av,Saratoga Av - S of  Atherton Av,30692,37.294825,-121.98844
2005-05-23,Saratoga Av,N of,Atherton Av,Saratoga Av - N of  Atherton Av,33546,37.295224,-121.98798
2005-05-23,Atherton Av,E of,Saratoga Av,Atherton Av - E of  Saratoga Av,5021,37.294789,-121.987857
2009-03-11,Monterey Rd,N of,Bailey Rd,Monterey Rd - N of  Bailey Rd,6480,37.208591,-121.731067
2009-03-11,Monterey Rd,S of,Bailey Rd,Monterey Rd - S of  Bailey Rd,9450,37.204464,-121.726869
2008-11-03,Miller Av,N of,Bancroft Wy,Miller Av - N of  Bancroft Wy,10330,37.304099,-122.015054
2008-11-03,Miller Av,S of,Bancroft Wy,Miller Av - S of  Bancroft Wy,10030,37.303294,-122.015044
2008-05-07,Penitencia Creek Rd,W of,Bard St,Penitencia Creek Rd - W of  Bard St,6930,37.391395,-121.838561
2005-04-28,Union Av,S of,Barrett Av,Union Av - S of  Barrett Av,22730,37.255492,-121.931259
